_id,Link,city,co_active_industries,co_name
6446475cb4ca81955ccdc0e0,www.arduino.cc,Monza,"['Electronics', 'Manufacturing']",Arduino
644647ddda32c8a9d46014e3,www.landirenzo.com,Cavriago,"['Chemicals & Related Products', 'Manufacturing']",Landi Renzo
644647ddda32c8a9d46014eb,www.scame.com,Parre,"['Industrial Machinery & Equipment', 'Manufacturing']",Scame
644647ddda32c8a9d46014f9,www.scotta.it,Villafalletto,"['Industrial Machinery & Equipment', 'Manufacturing']",Scotta Spa
644647e4da32c8a9d46014ff,www.raffineriadimilazzo.it,Milazzo,"['Chemicals & Related Products', 'Manufacturing']",Raffineria di Milazzo SCpA
644647e4da32c8a9d4601502,www.fbmhudson.com,Terno d Isola,"['Industrial Machinery & Equipment', 'Manufacturing']",FBM Hudson Italiana SpA
644647e4da32c8a9d460150a,www.mvtplant.com,Maserada sul Piave,"['Industrial Machinery & Equipment', 'Manufacturing']",Mion Ventoltermica Depurazioni Spa
644647eada32c8a9d4601521,www.asmterni.it,Terni,"['Manufacturing', 'Waste Treatment', 'Environmental Services & Recycling']",ASM TERNI SpA
644647eada32c8a9d4601525,www.smape.it,Cappelle Sul Tavo,"['Industrial Machinery & Equipment', 'Manufacturing']",Smape
644647f0da32c8a9d460153d,www.wind-kinetic.com,Firenza,"['Industrial Machinery & Equipment', 'Manufacturing']",WindKinetic Wind Systems
644647f0da32c8a9d460153e,www.waltertosto.it,Chieti,"['Chemicals & Related Products', 'Manufacturing']",Walter Tosto SpA
644647f0da32c8a9d4601541,www.exxro.com,Genova,"['Plastic', 'Packaging & Containers', 'Manufacturing']",Exxro
644647f7da32c8a9d4601560,www.idro.net,Seregno,"['Plastic', 'Packaging & Containers', 'Manufacturing']",Idro Group
644647feda32c8a9d4601566,www.cgdepur.it,Rosano,"['Plastic', 'Packaging & Containers', 'Manufacturing']",C&g Depurazione Industriale
644647feda32c8a9d460156e,www.energyteam.it,Trezzano Sul Naviglio,"['Electronics', 'Manufacturing']",Energy Team
64464804da32c8a9d4601580,www.paresa.it,Cesena,"['Industrial Machinery & Equipment', 'Manufacturing']",Paresa SpA
